Document Name,Clause No.,Clause from Loan Agreement,Notes (not a tag),Tag 1: Applicability,Tag 2: Area,Tag 3: Covenant Type,Tag 4: Covenant Title Tag,Tag 5: Covenant Description/ Sub tags,Tag 6: User Defined(256 characters only),Backup Document,Compliance Frequency,Start Date,Submission Period,End Date,Threshold,Priority,Event
Loan Agreement,4.2.1,"4.2.1.	Receipt of a certified true copy of the resolution of the Board in a format acceptable to the Rupee Lenders accepting the Facility and authorizing the authorized officers to deal with the Rupee Lenders, the Facility Agent and the Security Agent in connection with the same including execution of the necessary documents including the Financing Documents.",,Pre-Disbursement (CP),Informative,Non Financial - Informative,Confirmation Documents,Board Resolution,PDC(1),Board Resolution,Event Based,Document Execution Date,,,,High,
Loan Agreement,4.2.2,"4.2.2.	Execution of the Financing Documents  under the common seal of the Parties on adequate stamp paper.",,Pre-Disbursement (CP),Legal,Non Financial - Informative,Legal Documents,Execution,PDC(1),Financing Documents,Event Based,Document Execution Date,,,,High,
Loan Agreement,4.2.3,"4.2.3.	Receipt of a certified true copy of the board resolution of each of the Major Shareholders authorizing the pledging of the shares of the Borrower under the Pledge Agreements and for execution and performance of the Non Disposal Undertakings and the other Financing Documents to which they are a party to, authorizing particular Persons as “Authorised Persons” to deal with the Secured Parties  in connection with it and execute incidental documents in connection with the same.",,Pre-Disbursement (CP),Informative,Non Financial - Informative,Confirmation Documents,Board Resolution,PDC(1),Board Resolution,Event Based,Document Execution Date,,,,High,
Loan Agreement,4.2.4,"4.2.4.	Receipt by the Company of all approvals and filings (statutory or non-statutory), permissions, waivers, consents, confirmations or corporate authorizations required in connection with commencement and implementation of the Project (including the Service Agreement)  and delivery of certified true copies of all approvals and filings (statutory or non-statutory), permissions, waivers, consents, confirmations or corporate authorizations required in connection with commencement and implementation of the Project  to the Facility Agent .",,Pre-Disbursement (CP),Informative,Non Financial - Informative,Approvals,"Approvals, Filings",PDC(1),"Approvals, Filings",Event Based,Document Execution Date,,,,High,
Loan Agreement,4.2.5,"4.2.5.	Receipt of a certificate from an architect confirming the Estimated Project Costs and delivery of the same to the Facility Agent.
",,Pre-Disbursement (CP),Financial,Financial - Informative,Certificate,Project Cost,PDC(1),Any Other Certificate,Event Based,Document Execution Date,,,,High,
Loan Agreement,4.2.6,"4.2.6.	Delivery of a confirmation from the IT Department / certificate from a Chartered Accountant under Section 281 of the IT Act stating that there are no Legal Proceedings pending under the IT Act pertaining to the moveable fixed assets and the immoveable fixed assets of the Borrower and hence consent of the assessing officer of the IT Department is not required for creation of charge in favour of the Rupee Lenders/their agents.","sectio 281, creation of charge- security",Pre-Disbursement (CP),Security,Non Financial - Affirmative,Certificate,CA Certificate,PDC(1),CA Certificate,Event Based,Document Execution Date,,,,High,
Loan Agreement,4.2.7,"4.2.7.	Receipt of certificate signed by the Chartered Accountants and Authorized Person of the Borrower confirming that Section 293 of the Companies Act is not applicable to the Borrower and hence no resolutions shall be required under Section 293 of the Companies Act including Section 293 (1) (a) and 293(1) (d) of the Companies Act for the purpose of the transactions contemplated under the Financing Documents.","section 293 is about borrowing limits, so legal",Pre-Disbursement (CP),Legal,Non Financial - Negative,Certificate,CA Certificate,PDC(1),CA Certificate,Event Based,Document Execution Date,,,,High,
Loan Agreement,4.2.8,"4.2.8.	Receipt of a certified true copy of each of the then prevailing Memorandum of Association and Articles of Association of the Borrower and the Major Shareholders enabling the transactions contemplated under the Financing Documents.",,Pre-Disbursement (CP),Informative,Non Financial - Informative,Statutory Documents,"MoA, AoA",PDC(1),"MoA, AoA",Event Based,Document Execution Date,,,,High,
Loan Agreement,4.2.9,"4.2.9.	Completion and delivery of the valuation report and title search report in relation to the immovable fixed assets of the Project, present and future  to be mortgaged in favour of the Security Agent acting for the benefit of the Secured Parties within 15 (Fifteen) days from Initial Drawdown Date, confirming that the security cover of 1.5 times of the Facility Amount will be maintained. ",,Post-Disbursement (CS),Informative,Financial - Informative,Reports,"Title Search Report, Valuation Report",PDC(1),"Valuation Report, Title Search Report",Event Based,First Drawdown,15,,,High,
Loan Agreement,4.2.9,"4.2.9.	Completion and delivery of the valuation report and title search report in relation to the immovable fixed assets of the Project, present and future  to be mortgaged in favour of the Security Agent acting for the benefit of the Secured Parties within 15 (Fifteen) days from Initial Drawdown Date, confirming that the security cover of 1.5 times of the Facility Amount will be maintained. ",,Post-Disbursement (CS),Security,Financial -Affirmative,Ratios,Security Cover Ratio,PDC(1),Financial Ratio Computations,Event Based,First Drawdown,15,,>= 1.5,High,
