Clause,Topic
"4.2.1.	Receipt of a certified true copy of the resolution of the Board in a format acceptable to the Rupee Lenders accepting the Facility and authorizing the authorized officers to deal with the Rupee Lenders, the Facility Agent and the Security Agent in connection with the same including execution of the necessary documents including the Financing Documents.",Informative
"4.2.2.	Execution of the Financing Documents  under the common seal of the Parties on adequate stamp paper.",Legal
"4.2.3.	Receipt of a certified true copy of the board resolution of each of the Major Shareholders authorizing the pledging of the shares of the Borrower under the Pledge Agreements and for execution and performance of the Non Disposal Undertakings and the other Financing Documents to which they are a party to, authorizing particular Persons as “Authorised Persons” to deal with the Secured Parties  in connection with it and execute incidental documents in connection with the same.",Informative
"4.2.4.	Receipt by the Company of all approvals and filings (statutory or non-statutory), permissions, waivers, consents, confirmations or corporate authorizations required in connection with commencement and implementation of the Project (including the Service Agreement)  and delivery of certified true copies of all approvals and filings (statutory or non-statutory), permissions, waivers, consents, confirmations or corporate authorizations required in connection with commencement and implementation of the Project  to the Facility Agent .",Informative
"4.2.5.	Receipt of a certificate from an architect confirming the Estimated Project Costs and delivery of the same to the Facility Agent.
",Financial
"4.2.6.	Delivery of a confirmation from the IT Department / certificate from a Chartered Accountant under Section 281 of the IT Act stating that there are no Legal Proceedings pending under the IT Act pertaining to the moveable fixed assets and the immoveable fixed assets of the Borrower and hence consent of the assessing officer of the IT Department is not required for creation of charge in favour of the Rupee Lenders/their agents.",Security
"4.2.7.	Receipt of certificate signed by the Chartered Accountants and Authorized Person of the Borrower confirming that Section 293 of the Companies Act is not applicable to the Borrower and hence no resolutions shall be required under Section 293 of the Companies Act including Section 293 (1) (a) and 293(1) (d) of the Companies Act for the purpose of the transactions contemplated under the Financing Documents.",Legal
"4.2.8.	Receipt of a certified true copy of each of the then prevailing Memorandum of Association and Articles of Association of the Borrower and the Major Shareholders enabling the transactions contemplated under the Financing Documents.",Informative
"4.2.9.	Completion and delivery of the valuation report and title search report in relation to the immovable fixed assets of the Project, present and future  to be mortgaged in favour of the Security Agent acting for the benefit of the Secured Parties within 15 (Fifteen) days from Initial Drawdown Date, confirming that the security cover of 1.5 times of the Facility Amount will be maintained. ",Informative
"4.2.9.	Completion and delivery of the valuation report and title search report in relation to the immovable fixed assets of the Project, present and future  to be mortgaged in favour of the Security Agent acting for the benefit of the Secured Parties within 15 (Fifteen) days from Initial Drawdown Date, confirming that the security cover of 1.5 times of the Facility Amount will be maintained. ",Security
"4.2.10.	Delivery of the title deeds relating to the immovable properties of the Project to the Secured Parties and the execution of the Memorandum of Entry recording the deposit of title deeds in relation to the immovable properties of the Project on adequate stamp paper, within 15 (Fifteen) days from Initial Drawdown Date, in a form and manner acceptable to the Secured Parties;",Security
"4.2.10.	Delivery of the title deeds relating to the immovable properties of the Project to the Secured Parties and the execution of the Memorandum of Entry recording the deposit of title deeds in relation to the immovable properties of the Project on adequate stamp paper, within 15 (Fifteen) days from Initial Drawdown Date, in a form and manner acceptable to the Secured Parties;",Legal
"4.2.11.	Execution of the following Financing  Documents under the common seal of the Borrower and/or the Major Shareholders (to the extent applicable) on adequate stamp paper:

a.	A notarized Director Declaration within 15 (Fifteen) days from Initial Drawdown Date in favour of the Security Agent acting for the benefit of the Secured Parties; 
",Legal
